,gene_id,logtpm,transcript_id,protein_id,internal_id,external_id,abundance
57,ENST00000241436,4.466554127566323,ENST00000241436,ENSP00000241436,4433800,9606.ENSP00000241436,0.53
58,ENST00000033079,4.81602916604979,ENST00000033079,ENSP00000033079,4432613,9606.ENSP00000033079,0.59
59,ENST00000273598,4.460347796862285,ENST00000273598,ENSP00000273598,4436087,9606.ENSP00000273598,0.0
60,ENST00000306467,4.087938410010927,ENST00000306467,ENSP00000303058,4437924,9606.ENSP00000303058,0.539
61,ENST00000156471,4.320001072601536,ENST00000156471,ENSP00000156471,4432668,9606.ENSP00000156471,8.02
62,ENST00000320095,4.555123447995157,ENST00000320095,ENSP00000315731,4439020,9606.ENSP00000315731,0.452
63,ENST00000538197,4.039064771097901,ENST00000538197,ENSP00000443985,4450097,9606.ENSP00000443985,0.836
64,ENST00000367879,4.654678664951359,ENST00000367879,ENSP00000356853,4442978,9606.ENSP00000356853,22.8
65,ENST00000591680,4.769107078682371,ENST00000591680,ENSP00000467556,4450852,9606.ENSP00000467556,3.21
66,ENST00000266735,4.455878508731336,ENST00000266735,ENSP00000266735,4435728,9606.ENSP00000266735,305.0
67,ENST00000321895,4.216672799703695,ENST00000321895,ENSP00000319006,4439250,9606.ENSP00000319006,0.671
68,ENST00000314393,4.37520435006255,ENST00000314393,ENSP00000314709,4438948,9606.ENSP00000314709,1.08
69,ENST00000263256,4.686141109326491,ENST00000263256,ENSP00000263256,4435225,9606.ENSP00000263256,8.29
70,ENST00000334636,4.144930900883261,ENST00000334636,ENSP00000334592,4440580,9606.ENSP00000334592,0.028
71,ENST00000332707,4.71532174995266,ENST00000332707,ENSP00000327821,4439956,9606.ENSP00000327821,25.8
72,ENST00000297591,4.712781665063732,ENST00000297591,ENSP00000297591,4437422,9606.ENSP00000297591,5.1
73,ENST00000358350,4.7594572005326015,ENST00000358350,ENSP00000351113,4442105,9606.ENSP00000351113,5.23
74,ENST00000372648,4.6217338082816735,ENST00000372648,ENSP00000361731,4443990,9606.ENSP00000361731,9.14
75,ENST00000251810,4.7489210004786,ENST00000251810,ENSP00000251810,4434194,9606.ENSP00000251810,6.23
76,ENST00000379568,4.178423999044135,ENST00000379568,ENSP00000368887,4445236,9606.ENSP00000368887,11.2
77,ENST00000214869,4.997239479793692,ENST00000214869,ENSP00000214869,4432851,9606.ENSP00000214869,19.7
78,ENST00000303407,4.137422724996491,ENST00000303407,ENSP00000305918,4438173,9606.ENSP00000305918,10.0
79,ENST00000332290,4.523605737892002,ENST00000332290,ENSP00000346931,4441670,9606.ENSP00000346931,11.0
80,ENST00000367242,4.824766450271853,ENST00000367242,ENSP00000356211,4442840,9606.ENSP00000356211,0.241
81,ENST00000323037,4.142587935833634,ENST00000323037,ENSP00000323879,4439644,9606.ENSP00000323879,5.71
82,ENST00000257626,4.390780734275631,ENST00000257626,ENSP00000257626,4434560,9606.ENSP00000257626,0.236
83,ENST00000242257,4.765330862033959,ENST00000242257,ENSP00000242257,4433814,9606.ENSP00000242257,0.48
84,ENST00000292599,4.391619005945885,ENST00000292599,ENSP00000292599,4436982,9606.ENSP00000292599,1.59
85,ENST00000264255,4.995960751646143,ENST00000264255,ENSP00000264255,4435406,9606.ENSP00000264255,15.2
86,ENST00000369068,4.737494417709248,ENST00000369068,ENSP00000358064,4443251,9606.ENSP00000358064,14.6
87,ENST00000309318,4.4792837501349,ENST00000309318,ENSP00000310117,4438560,9606.ENSP00000310117,32.9
88,ENST00000382172,4.203465747525045,ENST00000382172,ENSP00000371607,4445660,9606.ENSP00000371607,6.76
89,ENST00000379942,4.790459588814115,ENST00000379942,ENSP00000369274,4445291,9606.ENSP00000369274,1.43
90,ENST00000341119,4.40817960475427,ENST00000341119,ENSP00000344831,4441463,9606.ENSP00000344831,1.21
91,ENST00000368932,4.545249273297793,ENST00000368932,ENSP00000357928,4443232,9606.ENSP00000357928,8.38
92,ENST00000258662,4.330753926857023,ENST00000258662,ENSP00000258662,4434647,9606.ENSP00000258662,2.91
93,ENST00000307441,4.525436394811433,ENST00000307441,ENSP00000304268,4438035,9606.ENSP00000304268,0.38
94,ENST00000369535,4.9282419621181885,ENST00000369535,ENSP00000358548,4443345,9606.ENSP00000358548,58.0
95,ENST00000392869,4.9603413079728895,ENST00000392869,ENSP00000376608,4446085,9606.ENSP00000376608,0.738
96,ENST00000321998,4.584826744007369,ENST00000321998,ENSP00000322316,4439516,9606.ENSP00000322316,7.36
97,ENST00000372876,4.659289257644132,ENST00000372876,ENSP00000361967,4444048,9606.ENSP00000361967,5.23
98,ENST00000313835,4.587556866377207,ENST00000313835,ENSP00000319673,4439301,9606.ENSP00000319673,4.23
99,ENST00000354105,4.357914876198942,ENST00000354105,ENSP00000326411,4439850,9606.ENSP00000326411,6.85
100,ENST00000405709,4.690281904688072,ENST00000405709,ENSP00000384966,4447187,9606.ENSP00000384966,1.52
101,ENST00000424834,4.580753869089024,ENST00000424834,ENSP00000398560,4448030,9606.ENSP00000398560,0.589
102,ENST00000334801,4.87208348738477,ENST00000334801,ENSP00000335320,4440662,9606.ENSP00000335320,3.08
103,ENST00000383678,4.293256798102459,ENST00000383678,ENSP00000373176,4445763,9606.ENSP00000373176,1.21
104,ENST00000334705,4.60749445793294,ENST00000334705,ENSP00000335082,4440638,9606.ENSP00000335082,7.23
105,ENST00000262096,4.16645076301494,ENST00000262096,ENSP00000262096,4435003,9606.ENSP00000262096,0.071
106,ENST00000225927,4.970865001516543,ENST00000225927,ENSP00000225927,4433344,9606.ENSP00000225927,10.9
107,ENST00000378165,4.202446184520984,ENST00000378165,ENSP00000367407,4445016,9606.ENSP00000367407,6.58
108,ENST00000249806,4.657174011945635,ENST00000249806,ENSP00000249806,4434108,9606.ENSP00000249806,5.06
109,ENST00000322652,4.793532776468478,ENST00000322652,ENSP00000316578,4439066,9606.ENSP00000316578,5.79
110,ENST00000426077,4.169276894903025,ENST00000426077,ENSP00000453399,4450428,9606.ENSP00000453399,0.282
111,ENST00000261716,4.300418877443383,ENST00000261716,ENSP00000261716,4434933,9606.ENSP00000261716,4.93
112,ENST00000323927,4.898944056218303,ENST00000323927,ENSP00000314004,4438903,9606.ENSP00000314004,1.25
113,ENST00000326495,4.030447854727508,ENST00000326495,ENSP00000315713,4439019,9606.ENSP00000315713,1.21
114,ENST00000355703,4.182140827142783,ENST00000355703,ENSP00000347931,4441777,9606.ENSP00000347931,0.176
115,ENST00000380266,4.094641964277321,ENST00000380266,ENSP00000369618,4445360,9606.ENSP00000369618,23.6
116,ENST00000458198,4.491296925942224,ENST00000458198,ENSP00000394183,4447839,9606.ENSP00000394183,6.77
117,ENST00000229903,4.091141814053664,ENST00000229903,ENSP00000229903,4433485,9606.ENSP00000229903,0.677
118,ENST00000304478,4.062404626293281,ENST00000304478,ENSP00000306080,4438188,9606.ENSP00000306080,5.44
119,ENST00000374865,4.069904313070426,ENST00000374865,ENSP00000363999,4444465,9606.ENSP00000363999,16.9
120,ENST00000262962,4.297389588140999,ENST00000262962,ENSP00000262962,4435173,9606.ENSP00000262962,6.15
121,ENST00000593685,4.155346511057805,ENST00000593685,ENSP00000469863,4450931,9606.ENSP00000469863,2.22
122,ENST00000382374,5.853908112352174,ENST00000382374,ENSP00000371811,4445681,9606.ENSP00000371811,3.87
123,ENST00000344337,5.487699721191825,ENST00000344337,ENSP00000343701,4441361,9606.ENSP00000343701,23.6
124,ENST00000586600,5.5312797986490585,ENST00000586600,ENSP00000465776,4450787,9606.ENSP00000465776,0.694
125,ENST00000265085,5.409984535840194,ENST00000265085,ENSP00000265085,4435555,9606.ENSP00000265085,1.51
126,ENST00000266556,5.059430578408963,ENST00000266556,ENSP00000266556,4435710,9606.ENSP00000266556,0.662
127,ENST00000370025,5.866202173021566,ENST00000370025,ENSP00000359042,4443444,9606.ENSP00000359042,17.8
128,ENST00000314358,5.479216538675657,ENST00000314358,ENSP00000326563,4439858,9606.ENSP00000326563,7.19
129,ENST00000293217,5.376392121023957,ENST00000293217,ENSP00000293217,4437000,9606.ENSP00000293217,39.8
130,ENST00000358595,5.3084461309607285,ENST00000358595,ENSP00000351407,4442141,9606.ENSP00000351407,1.92
131,ENST00000372836,5.605301609271603,ENST00000372836,ENSP00000361926,4444037,9606.ENSP00000361926,21.1
132,ENST00000318410,5.020641459507238,ENST00000318410,ENSP00000318016,4439167,9606.ENSP00000318016,9.43
133,ENST00000229633,5.14328978832848,ENST00000229633,ENSP00000229633,4433476,9606.ENSP00000229633,7.23
134,ENST00000353487,5.532159097498902,ENST00000353487,ENSP00000288680,4436781,9606.ENSP00000288680,0.606
135,ENST00000374586,5.546039165383013,ENST00000374586,ENSP00000363714,4444420,9606.ENSP00000363714,2.8
136,ENST00000261880,5.138383853486151,ENST00000261880,ENSP00000261880,4434969,9606.ENSP00000261880,20.8
137,ENST00000025008,5.071174605291829,ENST00000025008,ENSP00000025008,4432608,9606.ENSP00000025008,1.51
138,ENST00000380113,5.369021861014885,ENST00000380113,ENSP00000369456,4445328,9606.ENSP00000369456,56.1
139,ENST00000331923,5.122669097413486,ENST00000331923,ENSP00000328992,4440065,9606.ENSP00000328992,8.47
