gene_id,gene_name,tpm
AT1G03010,AT1G03010,
AT1G03020,GRXS1,0.2
AT1G03030,AT1G03030,36
AT1G03040,AT1G03040,32
AT1G03050,AT1G03050,
AT1G03055,D27,1
AT1G03060,SPI,4
AT1G03070,LFG4,2
AT1G03080,NET1D,17
AT1G03090,MCCA,23
AT1G03100,AT1G03100,0.7
AT1G03103,AT1G03103,146
AT1G03106,AT1G03106,145
AT1G03110,TRM82,3
AT1G03120,ATRAB28,59
AT1G03130,PSAD2,198
AT1G03140,AT1G03140,48
AT1G03150,NAA20,16
AT1G03160,FZL,6
AT1G03165,AT1G03165,
AT1G03170,FAF2,0.5
AT1G03180,AT1G03180,1
AT1G03190,XPD,5
AT1G03200,AT1G03200,5
AT1G03210,AT1G03210,34
AT1G03220,AT1G03220,485
AT1G03230,AT1G03230,6
AT1G03240,AT1G03240,
AT1G03250,AT1G03250,19
AT1G03260,AT1G03260,7
AT1G03270,CBSDUF4,19
AT1G03280,AT1G03280,25
AT1G03290,AT1G03290,13
AT1G03310,ISA2,9
AT1G03320,AT1G03320,
AT1G03330,LSM2,41
AT1G03340,AT1G03340,1
AT1G03350,AT1G03350,41
AT1G03360,RRP4,6
AT1G03365,RF4,8
AT1G03370,AT1G03370,5
AT1G03380,ATG18G,13
AT1G03390,AT1G03390,
AT1G03400,AT1G03400,5
AT1G03410,2A6,0.5
AT1G03430,AHP5,9
AT1G03440,AT1G03440,6
AT1G03445,BSU1,0.1
AT1G03457,AT1G03457,7
AT1G03470,NET3A,81
AT1G03475,CPX1,34
AT1G03490,NAC006,
AT1G03495,AT1G03495,4
AT1G03506,AT1G03506,1
AT1G03510,PCMP-E3,1
AT1G03520,AT1G03520,4
AT1G03530,ATNAF1,5
AT1G03540,PCMP-E4,1
AT1G03545,AT1G03545,0.3
AT1G03550,SCAMP2,4
AT1G03560,AT1G03560,5
AT1G03590,PPC6-6,15
AT1G03600,PSB27-1,94
AT1G03610,AT1G03610,48
AT1G03620,AT1G03620,2
AT1G03630,PORC,15
AT1G03650,AT1G03650,4
AT1G03660,AT1G03660,0.1
AT1G03670,AT1G03670,
AT1G03680,ATHM1,99
AT1G03687,AT1G03687,6
AT1G03700,AT1G03700,0.1
AT1G03710,AT1G03710,11
AT1G03720,AT1G03720,
AT1G03730,AT1G03730,5
AT1G03740,AT1G03740,11
AT1G03743,AT1G03743,0.5
AT1G03746,AT1G03746,0.5
AT1G03750,SWI2,4
AT1G03760,AT1G03760,10
AT1G03770,RING1B,12
AT1G03780,TPX2,0.8
AT1G03790,SOM,100
AT1G03800,ERF10,0.2
AT1G03820,AT1G03820,0.2
AT1G03830,AT1G03830,7
AT1G03840,MGP,1
AT1G03850,AT1G03850,7
AT1G03860,PHB2,20
AT1G03870,FLA9,5
AT1G03880,CRB,22180
AT1G03890,CRD,2320
AT1G03900,ATNAP4,64
AT1G03905,ABCI19,9
AT1G03910,CTN,39
AT1G03920,AT1G03920,8
AT1G03930,CKL9,12
AT1G03935,AT1G03935,7
AT1G03940,3AT1,3
AT1G03950,VPS2.3,18
AT1G03960,B''EPSILON,4
AT1G03970,GBF4,42
AT1G03980,ATPCS2,0.1
AT1G03987,AT1G03987,
AT1G03990,FAO1,18
AT1G04000,AT1G04000,6
AT1G04007,AT1G04007,4
AT1G04010,PSAT,5
AT1G04013,AT1G04013,2
AT1G04020,ATBARD1,0.3
AT1G04027,AT1G04027,3
AT1G04030,AT1G04030,6
AT1G04033,AT1G04033,0.1
AT1G04037,AT1G04037,1
AT1G04040,AT1G04040,11
AT1G04047,AT1G04047,2
AT1G04050,SUVR1,1
AT1G04070,TOM9-1,21
AT1G04073,AT1G04073,0.2
AT1G04080,PRP39,32
AT1G04083,AT1G04083,0.1
AT1G04090,AT1G04090,2
AT1G04093,AT1G04093,0.1
AT1G04097,AT1G04097,0.1
AT1G04100,IAA10,11
AT1G04103,AT1G04103,0.4
AT1G04105,AT1G04105,
AT1G04110,SBT1.2,0.1
AT1G04117,AT1G04117,0.1
AT1G04120,ABCC5,63
AT1G04127,AT1G04127,0.3
AT1G04130,TPR2,9
AT1G04140,AT1G04140,32
AT1G04147,AT1G04147,2
AT1G04150,AT1G04150,0.2
AT1G04153,AT1G04153,0.4
AT1G04157,AT1G04157,
AT1G04160,XI-B,3
AT1G04170,EIF2 GAMMA,39
AT1G04173,AT1G04173,0.2
AT1G04180,YUC9,0.2
AT1G04187,AT1G04187,6
AT1G04190,TPR3,20
AT1G04193,AT1G04193,1
AT1G04197,AT1G04197,2
AT1G04200,AT1G04200,8
AT1G04210,AT1G04210,12
AT1G04217,AT1G04217,7
AT1G04220,KCS2,9
AT1G04223,AT1G04223,1
AT1G04230,AT1G04230,15
AT1G04237,AT1G04237,0.3
AT1G04240,SHY2,3
AT1G04247,AT1G04247,1
AT1G04250,IAA17,1
AT1G04257,AT1G04257,0.6
AT1G04260,PRA1D,12
AT1G04263,AT1G04263,0.8
AT1G04267,AT1G04267,2
AT1G04270,RPS15A,222
AT1G04273,AT1G04273,3
AT1G04277,AT1G04277,3
AT1G04280,AT1G04280,3
AT1G04283,AT1G04283,0.2
AT1G04290,AT1G04290,2
AT1G04297,AT1G04297,0.1
AT1G04300,TRAF1B,30
AT1G04303,AT1G04303,0.3
AT1G04310,ERS2,23
AT1G04313,AT1G04313,
AT1G04323,AT1G04323,
AT1G04330,AT1G04330,3
AT1G04340,AT1G04340,21
AT1G04347,AT1G04347,0.4
AT1G04350,AT1G04350,31
AT1G04357,AT1G04357,0.1
AT1G04360,ATL1,2
AT1G04367,AT1G04367,0.2
AT1G04370,ERF14,
AT1G04380,AT1G04380,26
AT1G04387,AT1G04387,
AT1G04390,AT1G04390,6
AT1G04393,AT1G04393,
AT1G04400,CRY2,54
AT1G04410,MDH1,253
AT1G04413,AT1G04413,0.2
AT1G04417,AT1G04417,
AT1G04420,AT1G04420,25
AT1G04423,AT1G04423,3
AT1G04425,AT1G04425,4
AT1G04427,AT1G04427,3
AT1G04430,AT1G04430,31
AT1G04437,AT1G04437,
AT1G04440,CKL13,38
AT1G04445,AT1G04445,0.5
AT1G04450,RIC3,
AT1G04455,AT1G04455,
AT1G04467,AT1G04467,0.2
AT1G04470,AT1G04470,
AT1G04473,AT1G04473,0.8
AT1G04477,AT1G04477,2
AT1G04480,RPL23A,98
AT1G04483,AT1G04483,
AT1G04490,AT1G04490,3
AT1G04500,AT1G04500,4
AT1G04510,PRP19A,20
AT1G04520,CRRSP3,2
AT1G04530,TPR4,34
AT1G04533,AT1G04533,
AT1G04540,AT1G04540,0.7
AT1G04547,AT1G04547,0.5
AT1G04550,IAA12,17
